Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=e56ad55002666f4c,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=e56ad55002666f4c,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=e56ad55002666f4c,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=e56ad55002666f4c,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=f4190a8dbb8c05b1,[AI R&D] Language AI(NLP) Research 분야 수시...,엔씨소프트 2.8 성남 판교역,,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
https://kr.indeed.com/viewjob?jk=e56ad55002666f4c,Process & Data Scientist,Applied Materials Inc. 대한민국,,"systems Experience... least one programming language ( Python, R, Java, etc... writing SQL queries Qualifications..."
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
https://kr.indeed.com/viewjob?jk=153b61bfd2b5f9d1,Software Engineer Intern,Intel 4.1 서울,,"environment Preferred Qualifications - Programming skills with Python - Understanding of operating systems, system software..."
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15,Korea Structuring Junior,Credit Suisse 대한민국,,"several programming languages, preferably including Python with VBA Numeracy and proficiency in Excel packages, along..."
https://kr.indeed.com/viewjob?jk=a000c1253a31fe78,Data Scientist,이베이 코리아 대한민국,,우대사항 ] - Hadoop 기반 빅데이터 분석 플랫폼 유경험자 - Data Science 언어 (R/ Python/Scala 등 ) 능숙 - ML 기반 데이터 분석 서비스 개발 및 운영 경력 - E-Commerce 및...
https://kr.indeed.com/viewjob?jk=afe1e98ba9e200b6,신입/경력사원,앰코테크놀로지코리아 인천 연수구,,"development, Embedded system engineering 경력 우대 - Firmware, Python, C programing 경험 우대 명 인천 송도 보건 경력 (정규직) - 사업장 보건관리자 법적 선입..."
https://kr.indeed.com/viewjob?jk=193bfe67eed05c31,Data Scientist,"Koniag, Inc. 대한민국",,"experience is desired Demonstrated proficiency with R or Python, and SQL to manipulate data and draw insights from large..."
https://kr.indeed.com/viewjob?jk=212ca67d161b7162,2020 Market Data Analyst - Seoul (Korean Speaker),Bloomberg 서울,,"languages (e.g. Python, R, JavaScript... programming/scripting languages (e.g. Python, R, JavaScript, Java) as well as SQL..."
https://kr.indeed.com/viewjob?jk=d11342cfe074df78,Frontend Developer (Javascript/React),Bepro Company 서울,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
https://kr.indeed.com/viewjob?jk=c1037225077ca4da,데이터 분석가 (Business Intelligence Analyst),코스닥 상장 중견 게임기업 서울 강남구,"연봉 40,000,000원 - 70,000,000원","데이터 분석 결과를 쉽게 이해할 수 있도록 간결하고 명확한 의사전달 능력 [우대조건] * R, Python, Spark 등의 언어에 대한 이해도 * 모바일 앱SDK 연동 지원 업무 경험(Facebook, Admob..."
https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a,데이터 엔지니어,네오위즈 대한민국,,"운영 경험을 보유하신 분 3. AWS RDS, Redshift를 사용한 개발 경험이 있으신 분 4. Python, JAVA, Shellscript 등을 사용한 관리 및 운영 도구 개발/운영 경험이 있으신 분 5. SQL..."
https://kr.indeed.com/viewjob?jk=a4946f6098077a45,[개발]Python 백엔드 개발자(정규직),위메프 2.8 대한민국,,"3년 이상자 - Python 개발 경험 보유자 - 개발 환경 변화에 유연한 자(새로운 언어 및 새로운 시스템 적용 등) [우대사항] - 마이크로서비스 아키텍처에 대해 이해하고 있는자 - Python Django, Flask..."
https://kr.indeed.com/viewjob?jk=3e09288927b991a6,"[SK증권] 주식운용팀, 프랍운용팀 Internship 시행",SK증권 서울 영등포구,,"졸업(예정)자 · Web Crawling 능력 우대 · 엑셀 고급수준 및 VBA 가능자 우대 (C/C++, Python 등 프로그램 사용자 선호) 0명 근무환경 - 근무형태: 인턴 - 근무시간 : 월~금 8:00~17:00..."
https://kr.indeed.com/viewjob?jk=0f7993638aee82bd,Machine Learning Researcher (Intern),Qualcomm Korea YH 서울,,"Adversarial attacks, examples Minimum Qualifications • Python Programming • Deep learning with hands-on experience of deep..."
https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2,"Design Consultant, Staff",Synopsys 대한민국,,"DFT, MBIST, and ATPG tools. • Experience scripting... Python and Tcl. Experience with Verilog or SystemVerilog RTL..."
